Peak name,Continent,Country,Difficulty,Elevation (feet),Elevation (meters),Latitude,Longitude,Nearest major airport,Year first climbed
Aiguille Du Tour,europe,france,basic snow/ice climb,11621,3542,,,geneve,1926
Aiguille Sans Nom,europe,france,technical climb,13064,3982,,,geneva,1898
Aiguille Verte,europe,france,basic snow/ice climb,13524,4122,45.9833,6.43333,"chamonix, france",1865
Aiguille de Bionassay,europe,france,basic snow/ice climb,13294,4052,45.835799,6.818186,"geneva, switzerland",1888
Aiguille de Chambeyron,europe,france,scramble,11194,3412,44.528313,6.853219,grenoble,1879
Aiguille de Peclet,europe,france,basic snow/ice climb,11683,3561,45.281111,6.623889,"grenoble, geneva",1877
Aiguille de Roselette,europe,france,scramble,7822,2384,45.770956,6.690459,geneva,
Aiguille de Varan,europe,france,scramble,8346,2544,45.958563,6.683347,geneva,
Aiguille de la Tsa,europe,switzerland,technical climb,12034,3668,46.021389,7.522222,"sion or geneva, switzerland",1868
Aiguille des Glaciers,europe,france,nan,12520,3816,45.778611,6.8025,nan,
Aiguille du Chardonnet,europe,france,technical climb,12546,3824,45.968889,7.001389,geneva,1865
Aiguille du Dru,europe,france,technical climb,12320,3755,45.932778,6.956389,nan,
Aiguille du Goûter,europe,france,basic snow/ice climb,12674,3863,45.842434,6.843109,nan,
Aiguille du Jardin,europe,france,technical climb,13238,4035,45.934039,6.975799,"geneva, switzerland",1904
"Aiguille, Mont",europe,france,technical climb,6842,2085,44.8333,5.55,"grenoble or lyon, france",1492
Ailama,europe,georgia,major mountain expedition,14918,4547,42.8667,43.2333,"tbilisi airport, kiev airport, moscow airport",1937
Airola Peak,north america,united states,scramble,9942,3030,38.45,-119.8,reno,
"Aix, Mount",north america,united states,walk up,7766,2367,46.795,-121.256,seattle,
Ajax Peak,north america,united states,basic snow/ice climb,12785,3897,37.930137,-107.759274,montrose,
Ajusco,north america,mexico,walk up,12992,3960,19.2075,-99.258056,mexico city,
Akadake,asia,japan,basic snow/ice climb,9711,2960,,,tokyo,
Akaishidake,asia,japan,scramble,10236,3120,35.465284,138.167496,"narita, kansai",
Akioud Buimras,africa,morocco,scramble,13156,4010,,,"agadir, marrakesch",
Aktru,asia,russia,technical climb,13271,4045,50.0667,87.6667,novosibirsk,
Alam Kuh,asia,iran,technical climb,15912,4850,36.2239,50.5757,mehrabad,1939
"Albert Edward, Mount",north america,canada,walk up,6870,2094,49.6667,-125.417,comox,
Alberta Peak,north america,united states,scramble,11870,3618,37.455841,-106.795041,denver international,
"Alberta, Mount",north america,canada,technical climb,11874,3619,52.288008,-117.476463,"edmonton or calgary, alberta",1925
Albright Peak,north america,united states,walk up,10550,3216,43.6708,-110.813,jackson,
Alcazaba,europe,spain,walk up,11057,3371,37.067778,-3.300833,granada,
Aletschhorn,europe,switzerland,technical climb,13763,4195,46.4667,7.98333,"bern, switzerland",1859
Alex Lowe Peak,north america,united states,walk up,10031,3057,45.444,-111.002,"bozeman, mt",
"Alfred, Mount",north america,canada,basic snow/ice climb,7810,2381,50.206111,-124.076667,powell river municipal,
Algonquin Peak,north america,united states,scramble,5114,1559,44.1436,-73.9869,lake placid,
"Alice, Mount",north america,united states,basic snow/ice climb,5265,1605,60.134796,-149.277471,anchorage,1963
Allalinhorn,europe,switzerland,basic snow/ice climb,13212,4027,46.046139,7.894806,zurich or geneva,1856
"Allan, Mount",north america,canada,walk up,9249,2819,50.959075,-115.224781,calgary,
"Allen, Mount",north america,canada,scramble,10860,3310,51.2908,-116.22,calgary,1904
Allermuir Hill,europe,united kingdom,walk up,1650,503,,,edinburgh,
Alma Negra,south america,argentina,scramble,20046,6110,,,"san juan, mendoza",
Almacenes,south america,argentina,walk up,16732,5100,,,mendoza,
Almagre Mountain,north america,united states,walk up,12367,3770,38.7914,-104.993,colorado springs,
Almanzor,europe,spain,scramble,8504,2592,40.258241,-5.329399,madrid barajas,
Almirez,europe,spain,walk up,8261,2518,37.087501,-2.912407,aeropuerto de almería,
Alpamayo,south america,peru,basic snow/ice climb,19511,5947,-8.878203,-77.654371,"lima, peru",1951
Alpe Tre Potenze,europe,italy,basic snow/ice climb,6365,1940,,,pisa,
Alphubel,europe,switzerland,basic snow/ice climb,13799,4206,46.062257,7.864389,geneva,1860
Alpspitze,europe,germany,scramble,8622,2628,47.42956,11.048015,munich,1825
Alta Mountain,north america,united states,scramble,6151,1875,47.441131,-121.331964,seattle-tacoma,
Altiparmak,asia,turkey,nan,11827,3605,39,38,trabzon,
Altmann,europe,switzerland,scramble,7992,2436,47.239588,9.371796,zürich / altstätten,
"Alto Rio Blanco, Cerro",south america,argentina,technical climb,17552,5350,-32.926932,-70.025063,mendoza,1908
Alto de Lagunazo,south america,venezuela,walk up,7694,2345,10.423394,-67.207441,internacional simón bolívar,
Alto de Pozo Negro,south america,venezuela,walk up,7238,2206,10.458272,-67.105136,internacional simón bolívar,
Alto del Parrejon,europe,spain,walk up,6604,2013,41.236,-3.404,madrid barajas,
Alvand,asia,iran,nan,11247,3428,34.664167,48.486667,nan,
"Alyeska, Mount",north america,united states,scramble,3939,1201,60.958861,-149.055505,anchorage,
Ama Dablam,asia,nepal,major mountain expedition,22494,6856,27.861111,86.861111,"kathmandu, nepal",1961
Amariana,europe,italy,scramble,6250,1905,46.400735,13.080162,"ronchi, near udine",1924
Ameghino,south america,argentina,scramble,19587,5970,-32.628099,-69.977074,mendoza,
American Border Peak,north america,united states,scramble,7994,2437,48.995396,-121.665087,seattle-tacoma,1930
American Fork Twin Peaks,north america,united states,walk up,11489,3502,,,salt lake city,
Americo,south america,peru,technical climb,17323,5280,,,lima,1988
Amery,north america,canada,scramble,10922,3329,52.037498,-116.982036,calgary,1929
Ammergauer Hochplatte,europe,germany,walk up,6831,2082,47.55,10.8333,munich,
Amne Machin,asia,china,major mountain expedition,20610,6282,34.798333,99.4625,"xining, china",1981
Ampato,south america,peru,basic snow/ice climb,20630,6288,-15.816667,-71.883333,international airport rodríguez ballón,1966
An Teallach,europe,united kingdom,scramble,3484,1062,57.807,-5.25172,inverness or aberdeen,
Anamudi,asia,india,walk up,8842,2695,10.1666,77.0666,kochi,
Anboto,europe,spain,technical climb,4367,1331,43.008,-2.596,bilbao,
Ancient Art,north america,united states,technical climb,5450,1661,38.72162,-109.30434,salt lake city,1969
Ancohuma,south america,bolivia,basic snow/ice climb,21095,6430,-15.85427,-68.541641,"la paz, bolivia",1915
Anderson Peak,north america,united states,walk up,10840,3304,34.124524,-116.894488,ontario,
"Anderson, Mount",north america,united states,basic snow/ice climb,7321,2231,47.721201,-123.331562,seattle-tacoma,1920
Andrews Bald,north america,united states,walk up,5860,1786,35.5417,-83.4933,ashville,
"Andromeda, Mount",north america,canada,technical climb,11320,3450,52.174195,-117.238798,edmonton,1930
Aneroid Mountain,north america,united states,scramble,9702,2957,45.20297,-117.17495,"boise, id",
Aneto,europe,spain,nan,11168,3404,42.631433,0.655403,"lourdes or toulouse, france, zaragoza or barcelona, spain",1842
Angel,asia,pakistan,technical climb,22500,6858,,,islamabad,
"Angeles, Mount",north america,united states,scramble,6454,1967,47.995292,-123.467317,seattle-tacoma,
Angels Landing,north america,united states,scramble,5790,1765,37.269331,-112.947878,nan,
Anghomar,africa,morocco,scramble,11844,3610,31.574404,-7.021079,marrakesh,
Angour,africa,morocco,scramble,11864,3616,31.1753,-7.8254,marrakech,
Aniakchak,north america,united states,walk up,4400,1341,56.8833,-158.167,"anchorage, alaska",
"Annan, Mount",australia/oceania,new zealand,basic snow/ice climb,9557,2913,,,christchurch / mount cook airport,1912
Annapurna,asia,nepal,major mountain expedition,26545,8091,28.584823,83.989921,"kathmandu, nepal",1950
Annapurna 2,asia,nepal,major mountain expedition,26040,7937,28.534766,84.121799,kathmandu,1960
Annapurna 3,asia,nepal,technical climb,24786,7555,,,kathmandu,1985
Annapurna South,asia,nepal,major mountain expedition,23684,7219,28.518629,83.805857,pokhara,
Antelao,europe,italy,scramble,10709,3264,46.452323,12.261586,milano,1860
"Antero, Mount",north america,united states,walk up,14269,4349,38.656,-106.239,nan,1870
Antisana,south america,ecuador,technical climb,18,5,-0.481,-78.141,quito,1880
Antler Peak,north america,united states,scramble,7017,2139,46.920021,-121.632257,seattle-tacoma,
Antuco,south america,chile,basic snow/ice climb,9688,2953,,,nan,
Anzac Peaks,australia/oceania,new zealand,basic snow/ice climb,8307,2532,,,christchurch,1917
Anzer,europe,turkey,basic snow/ice climb,10187,3105,,,trabzon airport 120 km,1979
Aonach Eagach,europe,united kingdom,scramble,3172,967,56.6794,-5.0374,glasgow,
Aorai,australia/oceania,,scramble,6778,2066,-17.7,-149.5,faaa (papeete),
Aoraki/Mount Cook,australia/oceania,new zealand,basic snow/ice climb,12316,3754,-43.594934,170.141895,"christchurch, new zealand",1894
Aperer Feuerstein,europe,austria,scramble,9737,2968,,,innsbruck,1883
Api,asia,nepal,major mountain expedition,23399,7132,30,80.9333,"kathmandu, nepal",1960
"Apo, Mount",asia,philippines,major mountain expedition,10331,3148,7.00833,125.276,davao int'l airport,1880
Apple Orchard Mountain,north america,united states,walk up,4225,1288,37.5167,-79.5,roanoke,
"Appleton, Mount",north america,united states,scramble,6004,1830,47.950402,-123.733108,seattle-tacoma,
"Aragats, Mount",europe,armenia,scramble,13418,4090,40.523156,44.194593,yerevan international airport (evn),
Arakawadake (Waruzawadake),asia,japan,walk up,10305,3141,35.49974,138.182173,"narita, kansai",
Aran Fawddwy,europe,united kingdom,walk up,2975,907,52.786776,-3.68866,"manchester, liverpool",
"Ararat, Mount",asia,turkey,walk up,16945,5165,39.7,44.3,"van, turkey",1829
Arc Dome,north america,united states,walk up,11775,3589,38.832778,-117.353056,reno int'l,
Arenig Fawr,europe,united kingdom,walk up,2801,854,52.917908,-3.74445,liverpool,
Argentera,europe,italy,scramble,10817,3297,44.1667,7.3,"turin or genoa, italy, 
 nice, france",1879
Argon Tower,north america,united states,technical climb,4700,1433,38.6331,-109.6021,salt lake city,1964
Argonaut Peak,north america,united states,scramble,8453,2576,47.470255,-120.861411,seattle-tacoma,1955
Argopuro,asia,indonesia,walk up,3088,941,,,surabaya,
"Ark, The",north america,united states,walk up,5339,1627,47.588799,-121.540761,seattle,
Arpasul Mare,europe,romania,scramble,8097,2468,,,sibiu,
Arpasul Mic,europe,romania,walk up,8071,2460,,,sibiu,
"Arrowsmith, Mount",north america,canada,scramble,5968,1819,49.2167,-124.6,port alberni,
Artesonraju,south america,peru,technical climb,19767,6025,-8.95,-77.633333,lima,1932
Arthur Peak,north america,united states,scramble,5465,1666,46.970163,-121.872202,seattle-tacoma,
Arthur's Seat,europe,united kingdom,scramble,823,251,55.944167,-3.161944,edinburgh,
"Arvon, Mount",north america,united states,walk up,1979,603,46.7555,-88.156,nan,2000
Asama Yama,asia,japan,walk up,8425,2568,36.4057,138.517,"narita international, kansai international",
"Asgard, Mount",north america,canada,technical climb,6598,2011,66.671135,-65.2666,"pangnirtung, baffin island, (flights from montreal, quebec)",1953
"Ashland, Mt",north america,united states,nan,7500,2286,42.0167,-122.7,portland,1950
Askio,europe,greece,walk up,6926,2111,40.406389,21.556667,kozani,
Askja,europe,iceland,walk up,4974,1516,65.05,-16.75,"akureyri, iceland",
"Aso, Mount",asia,japan,walk up,5223,1592,32.8844,131.1039,fukuoka,
"Asog, Mt",asia,philippines,walk up,3750,1143,13.4511,123.451,naga-pili airport,
Aspe,europe,spain,walk up,8678,2645,42.764784,-0.567169,zaragoza,
Aspen Butte,north america,united states,walk up,8208,2502,42.315417,-122.087516,eugene airport,
Aspen Mountain,north america,united states,walk up,10705,3263,39.176099,-106.829206,aspen-pitkin county airport,
"Aspiring, Mount",australia/oceania,new zealand,technical climb,9931,3027,-44.3833,168.733,"christchurch, south island",1909
"Asplenium, Mt",australia/oceania,australia,scramble,4245,1294,-28.157326,152.435591,brisbane,
"Assiniboine, Mount",north america,canada,scramble,11870,3618,50.8667,-115.65,"calgary, alberta",1901
Asso Peak,asia,pakistan,major mountain expedition,19029,5800,,,gilgit,1999
Association,north america,canada,scramble,7874,2400,51.181388,-115.125904,calgary,
Astraka,europe,greece,scramble,7992,2436,,,ioannina,
"Athabasca, Mount",north america,canada,technical climb,11452,3491,52.180353,-117.201548,"calgary, alberta",1898
Athos,europe,greece,walk up,6670,2033,,,salonika makedonia airport,
Atitlan,north america,guatemala,walk up,11604,3537,14.5833,-91.1833,"guatemala city, guatemala",
"Atkinson, Mt",north america,united states,scramble,12241,3731,,,fresno,1984
Atkuyruksallamaz,asia,turkey,scramble,9446,2879,36.55062,29.53758,dalaman airport,
Aubineua Peak,north america,united states,walk up,11838,3608,,,pullium,
Aucanquilcha,south america,chile,walk up,20262,6176,-21.2167,-68.4667,calama,
"Audubon, Mount",north america,united states,walk up,13565,4135,40.0989,-105.616,"denver,co",
Auersberg,europe,germany,nan,3343,1019,50.455556,12.648056,dresden,
Augstenberg,europe,austria,basic snow/ice climb,10590,3228,46.8667,10.2,innsbruck,
"Augusta, Mt",north america,canada,technical climb,14072,4289,60.302985,-140.455849,whitehorse,1952
"Augustus, Mount",australia/oceania,australia,scramble,3627,1106,-24.3103,116.835,"port hedland (domestic), perth (international)",
Aukstojas,europe,lithuania,walk up,961,293,54.529444,25.634444,vilnius,2004
Aure Scarp,australia/oceania,papua new guinea,major mountain expedition,5105,1556,7.03167,145.436,port moresby,1986
"Aurora, Mount",australia/oceania,new zealand,basic snow/ice climb,8737,2663,,,mount cook village,
Ausangate,south america,peru,basic snow/ice climb,20945,6384,-13.7881,-71.2308,"cuzco, peru",1953
Ausserer Hahlkogel,europe,austria,scramble,8711,2655,,,insbruck,
Avala,europe,serbia and montenegro,walk up,1690,515,44.690278,20.514167,belgrade,
Avalanche Spire,north america,united states,technical climb,9530,2905,62.806389,-151.153333,anchorage,
Avic,europe,italy,scramble,9862,3006,45.689439,7.564168,turin,1875
Awiar,asia,iran,nan,7287,2221,35.3167,47,sanandaj airport,
Axe Edge,europe,united kingdom,walk up,1808,551,53.2325,-1.948889,manchester,
Axis Mountain,north america,united states,scramble,7550,2301,47.508331,-120.873771,seattle,
Ayangaik,south america,guyana,technical climb,1378,420,6.083,-60.63,georgetown,1966
Azurite Peak,north america,united states,scramble,8400,2560,48.656931,-120.751914,seattle-tacoma,1933
Baba Dagi,asia,turkey,walk up,6526,1989,36.52842,29.185196,dalaman,
"Babel, Mount",north america,canada,technical climb,10174,3101,51.305556,-116.1633,calgary,1910
"Babel, Tower of",north america,canada,scramble,7290,2221,51.325,-116.169,calgary,
Babia Góra,europe,poland,walk up,5659,1725,49.573333,19.529444,"kraków, balice",1782
Babin zub,europe,serbia and montenegro,scramble,5764,1757,43.2019,22.3156,nish,
Babis Mta,europe,georgia,major mountain expedition,14613,4454,42.8833,43.4,tbilisi airport,
Baboquivari Peak,north america,united states,scramble,7730,2356,31.7711,-111.595,"tucson, az",1898
"Bachelor, Mount",north america,united states,scramble,9068,2764,43.979,-121.688,eugene airport,1980
Backbone Mountain,north america,united states,walk up,3360,1024,39.2333,-79.4833,morgantown,
Bademli Dagi,asia,turkey,scramble,6824,2080,,,konya and antalya,
Baden-Powell Peak,asia,nepal,basic snow/ice climb,18760,5718,28.1671,85.5325,kathmandu - thribuvan int'l airport,
"Baden-Powell, Mount",north america,united states,walk up,9399,2865,34.35853,-117.76464,nan,
"Baekdu, Mount",asia,"korea, north",scramble,9003,2744,42.0035,128.031,"yanji, jirin and changchun",
Baffelan,europe,italy,scramble,5883,1793,45.733866,11.175907,verona,1877
"Bailey, Mount",north america,united states,walk up,8368,2551,43.155105,-122.219982,eugine or,
Baintha Brakk,asia,pakistan,major mountain expedition,23901,7285,35.947717,75.753822,islamabad,1977
Baiu Mare,europe,romania,walk up,6217,1895,,,bucuresti - otopeni,
"Bajimba, Mt",australia/oceania,australia,walk up,4741,1445,-29.294232,152.105829,brisbane,
"Baker, Mount",north america,united states,basic snow/ice climb,10778,3284,48.776895,-121.814532,"seattle, wa or vancouver, bc",1868
Bakirtepe,asia,turkey,walk up,8356,2547,,,antalya,
Balaitous,europe,spain,basic snow/ice climb,10322,3146,42.838717,-0.290966,"lourdes or toulouse, france, zaragoza, pamplona or barcelona, spain",1825
Balatukan,asia,philippines,scramble,8038,2450,8.77,124.98,cagayan de oro,
Bald Eagle,north america,united states,technical climb,6241,1902,47.616926,-121.271682,seattle,1934
Bald Knob,north america,united states,walk up,4842,1476,38.448185,-79.931287,pittsburgh international,
Bald Mountain,north america,united states,nan,7393,2253,43.274706,-121.354294,eugene airport,
Baldy Mountain,north america,united states,scramble,6916,2108,48.149023,-109.65085,great falls,
"Baldy, Mount",north america,united states,walk up,11403,3476,33.906005,-109.562659,phoenix,
"Baldy, Mt",north america,united states,walk up,3281,1000,61.332626,-149.461901,anchorage,
"Balfour, Mount",north america,canada,basic snow/ice climb,10735,3272,51.565333,-116.466064,calgary,1898
Balfrin,europe,switzerland,nan,12451,3795,46.135083,7.880278,nan,
Ball's Pyramid,australia/oceania,australia,technical climb,1843,562,-31.7558,159.251,"sydney, australia",1965
"Ball, Mount",north america,canada,basic snow/ice climb,10863,3311,51.1569,-116.008,calgary international,1904
"Ballow, Mt",australia/oceania,australia,nan,4308,1313,-28.269393,152.614396,brisbane,
Balmenhorn,europe,italy,basic snow/ice climb,13671,4167,45.915751,7.866667,"milan, italy",
"Baloy, Mount",asia,philippines,major mountain expedition,7,2,11.1406,122.235,iloilo airport,1990
Baltistan Peak,asia,pakistan,nan,23294,7100,35.418426,76.551631,"skardu,pakistan",
Baltoro Kangri,asia,pakistan,nan,23835,7265,76.6697,35.648,"islamabad,gilgit and skardu",
"Banahaw, Mt",asia,philippines,nan,6562,2000,14.066667,121.483333,manila,
Banded Peak,north america,canada,walk up,9626,2934,50.7167,-114.917,calgary international,1974
Bandera Mountain,north america,united states,walk up,5240,1597,47.4155,-121.538,seatac,
Banderpunch,asia,india,major mountain expedition,20722,6316,31.003016,78.553433,"jolly grant, dehradun",1950
Banikov,europe,slovakia,scramble,7146,2178,49.197859,19.710073,poprad,
Banner Peak,north america,united states,scramble,12947,3946,37.6967,-119.194,"reno, nv",
"Banoi, Mount",asia,philippines,walk up,2723,830,13.6882,121.178,manila international airport,
Banshee Peak,north america,united states,scramble,7400,2256,46.8511,-121.6208,seattle-tacoma,
Baraha Shikar,asia,nepal,technical climb,25089,7647,,,pokhara,
Baranec,europe,slovakia,walk up,7165,2184,49.1736,19.7416,tatry - poprad,
Bard Peak,north america,united states,basic snow/ice climb,3698,1127,60.743889,-148.726944,anchorage,
"Barff, Mount",australia/oceania,new zealand,basic snow/ice climb,7388,2252,,,queenstown,
"Baring, Mount",north america,united states,scramble,6125,1867,47.779309,-121.435919,seattle-tacoma,1897
Barn Bluff,australia/oceania,australia,scramble,5114,1559,-41.717527,145.939805,launceston or hobart,
"Barney, Mount",australia/oceania,australia,walk up,4442,1354,-28.280914,152.698326,brisbane,
Barren Mountain,north america,united states,walk up,2671,814,45.42,-69.36,"bangor, me",
Barrhorn,europe,switzerland,walk up,11844,3610,46.149632,7.737036,geneve and bern,
Barrier Peak,north america,united states,scramble,6521,1988,46.85951,-121.577048,seattle-tacoma,
"Bartle Frere, Mount",australia/oceania,australia,scramble,5321,1622,-17.3833,145.817,cairns,
Bartlett Peak,north america,united states,walk up,8508,2593,31.9167,-104.883,"el paso, texas",
Baruntse,asia,nepal,major mountain expedition,23687,7220,27.871636,86.980043,"kathmandu, nepal",1954
Bashful Peak,north america,united states,basic snow/ice climb,8005,2440,61.3,-148.867,"anchorage, alaska",1959
Basin Mountain,north america,united states,walk up,13181,4018,37.2833,-118.65,"los angeles, californiareno, nevada",
"Batu Puteh, Mount",asia,malaysia,major mountain expedition,6994,2132,4.222048,101.441402,kuala lumpur international airport,
"Batulao, Mount",asia,philippines,scramble,2667,813,14.0399,120.802,manila international airport,
Batura,asia,pakistan,major mountain expedition,25574,7795,36.510326,74.522581,islamabad,1976
Batura II,asia,pakistan,major mountain expedition,25466,7762,36.3,74.31,nan,2006
Bavski Grintavec,europe,slovenia,nan,7690,2344,46.439986,13.733253,"ljubljana, bled (only for sport planes), bovec (only for sport planes)",
"Baw Baw, Mount",australia/oceania,australia,walk up,5138,1566,-37.85,146.25,melbourne,
Bays Mountain,north america,united states,walk up,2405,733,36.3625,-82.858333,tri-cities regional airport,
Bazarduzu,europe,azerbaijan,scramble,14652,4466,41.220556,47.857778,heydar aliyev international airport (gyd),1890
Bear Butte,north america,united states,walk up,4426,1349,44.4756,-103.426169,rapid city,1743
Bear Creek Spire,north america,united states,scramble,13713,4180,37.3681,-118.767,nan,1923
Bear Mountain,north america,united states,technical climb,7931,2417,48.930648,-121.340861,"seattle-tacoma or vancouver, bc",1939
"Bear, Mount",north america,united states,walk up,14831,4521,61.2667,-141.167,chitina,
Bearhat Mountain,north america,united states,scramble,8684,2647,48.666931,-113.763771,"kalispell, mt",1923
Bears Breast Mountain,north america,united states,technical climb,7197,2194,47.5401,-121.225,seattle-tacoma,1939
Beartooth Butte,north america,united states,walk up,10514,3205,44.954636,-109.609894,"billings, mt",
Beatys Butte,north america,united states,scramble,7918,2413,42.386,-119.3307,"boise, id",
Beautiful Mountain,north america,united states,walk up,9388,2861,36.4714,-109,nan,
Becca di Luseney,europe,italy,nan,11496,3504,45.870278,7.490833,"torino, geneva, milano",
Becca di Nona,europe,italy,walk up,10308,3142,45.68707,7.365814,turin,1832
Becco Meridionale Della Tribolazione,europe,italy,scramble,11024,3360,45.499444,7.333599,torino,1875
Becco di Valsoera,europe,italy,scramble,11053,3369,45.507826,7.37823,torino,1879
Beckler,north america,united states,technical climb,5062,1543,47.7356,-121.281595,seattle,
Becs de Bosson,europe,switzerland,scramble,10331,3149,46.167895,7.518366,geneve,
Bedal Peak,north america,united states,scramble,6554,1998,48.06876,-121.354122,seattle-tacoma,1921
Bedori Top,asia,pakistan,walk up,12229,3727,,,rawalakot,
Beebe,north america,united states,walk up,7416,2260,48.663105,-120.924153,seattle,
Beech Mountain,north america,united states,walk up,5505,1678,36.1844,-81.8817,asheville,
Beehive,north america,united states,scramble,520,158,44.3333,-68.1889,bangor international,
Beenkeragh,europe,ireland,walk up,3314,1010,52.007287,-9.746835,kerry airport (killarney),
Beerenberg,europe,jan mayen,technical climb,7470,2277,71.0833,-8.16667,nan,1921
"Beerwah, Mount",australia/oceania,australia,scramble,1824,556,-27, ,brisbane,
"Begbie, Mount",north america,canada,basic snow/ice climb,8963,2732,50.8848,-118.2558,"kamloops, bc",1907
Bei Tip,asia,pakistan,major mountain expedition,25958,7912,35.44,78.37,isalmabad,
Beinn Dorain,europe,united kingdom,scramble,3530,1076,56.5043,-4.72301,glasgow,
Beinn Eighe,europe,united kingdom,walk up,3313,1010,57.595,-5.42991,inverness / aberdeen,
Beinn Ime,europe,united kingdom,walk up,3317,1011,56.2376,-4.81763,glasgow,
Beinn Narnain,europe,united kingdom,walk up,3038,926,56.220556,-4.79,glasgow international,
Beinn na Caillich,europe,united kingdom,walk up,2402,732,57.25,-5.7,inverness,
Belchen,europe,germany,walk up,4639,1414,47.82301,7.833424,basel/mulhouse,
"Belford, Mount",north america,united states,walk up,14197,4327,38.9606,-106.361,denver,
"Beljica, Mount",north america,united states,walk up,5475,1669,46.784223,-121.940646,seattle,
Belknap Crater,north america,united states,scramble,6872,2095,44.284967,-121.84237,eugene airport,
"Bell, Mount",north america,canada,scramble,9626,2934,51.2847,-116.1014,calgary international airport,1910
"Bellenden Ker, Mount",australia/oceania,australia,scramble,5226,1593,-17.264167,145.853889,"cairns, qld",
Ben Alder,europe,united kingdom,walk up,3766,1148,56.813189,-4.465513,glasgow,
Ben Donich,europe,united kingdom,walk up,2779,847,56.197778,-4.873889,glagow airport,
Ben Hope,europe,united kingdom,basic snow/ice climb,3041,927,58.41355,-4.60874,aberdeen,
Ben Lawers,europe,united kingdom,walk up,3950,1204,56.545556,-4.220833,glasgow,
Ben Ledi,europe,united kingdom,walk up,2888,880,56,-4,glasgow or edinburgh,
Ben Lomond,europe,united kingdom,walk up,3195,974,56.188765,-4.630137,glasgow airport,
Ben Lomond Peak,north america,united states,basic snow/ice climb,9972,3040,41.3633,-111.96,salt lake international,
